feature,importance,importance_type
prev_name_contract_status_approved_mean,21.0,feature_importances_
prev_channel_type_channel_of_corporate_sales_mean,21.0,feature_importances_
buro_months_balance_size_sum,21.0,feature_importances_
instal_dpd_max,21.0,feature_importances_
prev_name_goods_category_photo_cinema_equipment_mean,20.0,feature_importances_
prev_amt_goods_price_mean,20.0,feature_importances_
instal_payment_perc_max,20.0,feature_importances_
cc_amt_credit_limit_actual_var,20.0,feature_importances_
prev_product_combination_cash_x_sell_middle_mean,20.0,feature_importances_
buro_amt_credit_sum_limit_sum,20.0,feature_importances_
prev_name_seller_industry_consumer_electronics_mean,20.0,feature_importances_
cc_amt_receivable_principal_mean,20.0,feature_importances_
prev_channel_type_stone_mean,19.0,feature_importances_
organization_type_self_employed,19.0,feature_importances_
closed_months_balance_size_sum,19.0,feature_importances_
refused_cnt_payment_mean,19.0,feature_importances_
prev_weekday_appr_process_start_saturday_mean,19.0,feature_importances_
organization_type_school,19.0,feature_importances_
active_months_balance_size_sum,19.0,feature_importances_
closed_amt_annuity_max,19.0,feature_importances_
buro_amt_annuity_mean,18.0,feature_importances_
buro_amt_annuity_max,18.0,feature_importances_
refused_amt_credit_min,18.0,feature_importances_
closed_count,18.0,feature_importances_
pos_name_contract_status_signed_mean,18.0,feature_importances_
organization_type_construction,18.0,feature_importances_
prev_weekday_appr_process_start_thursday_mean,18.0,feature_importances_
buro_status_c_mean_mean,18.0,feature_importances_
floorsmax_avg,18.0,feature_importances_
prev_rate_down_payment_min,18.0,feature_importances_
nonlivingarea_avg,18.0,feature_importances_
prev_name_seller_industry_furniture_mean,18.0,feature_importances_
prev_product_combination_pos_household_without_interest_mean,18.0,feature_importances_
prev_hour_appr_process_start_max,18.0,feature_importances_
basementarea_medi,17.0,feature_importances_
cc_amt_payment_total_current_sum,17.0,feature_importances_
closed_months_balance_size_mean,17.0,feature_importances_
landarea_mode,17.0,feature_importances_
name_income_type_working,17.0,feature_importances_
region_rating_client,17.0,feature_importances_
buro_credit_type_car_loan_mean,17.0,feature_importances_
cc_amt_drawings_current_var,17.0,feature_importances_
refused_days_decision_min,17.0,feature_importances_
prev_name_client_type_new_mean,17.0,feature_importances_
prev_name_yield_group_xna_mean,17.0,feature_importances_
organization_type_military,17.0,feature_importances_
prev_name_goods_category_consumer_electronics_mean,17.0,feature_importances_
nonlivingapartments_mode,16.0,feature_importances_
refused_hour_appr_process_start_mean,16.0,feature_importances_
buro_months_balance_min_min,16.0,feature_importances_
apartments_medi,16.0,feature_importances_
prev_name_seller_industry_xna_mean,16.0,feature_importances_
prev_weekday_appr_process_start_tuesday_mean,16.0,feature_importances_
prev_name_payment_type_xna_mean,16.0,feature_importances_
prev_weekday_appr_process_start_sunday_mean,16.0,feature_importances_
prev_amt_application_min,16.0,feature_importances_
landarea_medi,16.0,feature_importances_
cc_cnt_instalment_mature_cum_mean,15.0,feature_importances_
commonarea_avg,15.0,feature_importances_
basementarea_avg,15.0,feature_importances_
prev_amt_application_max,15.0,feature_importances_
prev_product_combination_pos_mobile_with_interest_mean,15.0,feature_importances_
years_build_medi,15.0,feature_importances_
prev_name_goods_category_mobile_mean,15.0,feature_importances_
prev_name_client_type_refreshed_mean,15.0,feature_importances_
prev_code_reject_reason_sco_mean,15.0,feature_importances_
refused_amt_annuity_max,15.0,feature_importances_
refused_app_credit_perc_max,15.0,feature_importances_
cc_amt_payment_total_current_max,15.0,feature_importances_
cc_amt_payment_current_mean,15.0,feature_importances_
closed_months_balance_min_min,15.0,feature_importances_
refused_amt_credit_max,15.0,feature_importances_
cc_amt_payment_current_sum,15.0,feature_importances_
livingapartments_mode,15.0,feature_importances_
obs_30_cnt_social_circle,15.0,feature_importances_
livingapartments_avg,15.0,feature_importances_
prev_name_seller_industry_construction_mean,14.0,feature_importances_
prev_name_contract_status_canceled_mean,14.0,feature_importances_
prev_product_combination_pos_household_with_interest_mean,14.0,feature_importances_
refused_cnt_payment_sum,14.0,feature_importances_
nonlivingarea_mode,14.0,feature_importances_
flag_own_car,14.0,feature_importances_
cc_amt_balance_min,14.0,feature_importances_
cc_months_balance_mean,14.0,feature_importances_
closed_amt_annuity_mean,13.0,feature_importances_
prev_code_reject_reason_limit_mean,13.0,feature_importances_
buro_months_balance_size_mean,13.0,feature_importances_
approved_amt_application_max,13.0,feature_importances_
cc_amt_balance_max,13.0,feature_importances_
refused_amt_goods_price_min,13.0,feature_importances_
prev_amt_credit_max,13.0,feature_importances_
prev_channel_type_contact_center_mean,13.0,feature_importances_
floorsmin_avg,12.0,feature_importances_
prev_name_goods_category_clothing_and_accessories_mean,12.0,feature_importances_
pos_name_contract_status_returned_to_the_store_mean,12.0,feature_importances_
prev_name_type_suite_family_mean,12.0,feature_importances_
prev_name_portfolio_cash_mean,12.0,feature_importances_
prev_name_type_suite_spouse_partner_mean,12.0,feature_importances_
prev_product_combination_cash_street_high_mean,12.0,feature_importances_
refused_amt_application_min,12.0,feature_importances_
refused_amt_goods_price_mean,12.0,feature_importances_
occupation_type_drivers,12.0,feature_importances_
refused_amt_application_max,12.0,feature_importances_
prev_name_payment_type_cash_through_the_bank_mean,11.0,feature_importances_
prev_code_reject_reason_hc_mean,11.0,feature_importances_
cc_cnt_drawings_current_max,11.0,feature_importances_
prev_hour_appr_process_start_min,11.0,feature_importances_
cc_amt_inst_min_regularity_mean,11.0,feature_importances_
entrances_avg,11.0,feature_importances_
prev_name_goods_category_computers_mean,11.0,feature_importances_
cc_amt_drawings_atm_current_var,11.0,feature_importances_
approved_amt_down_payment_min,11.0,feature_importances_
cc_name_contract_status_sent_proposal_mean,11.0,feature_importances_
prev_product_combination_cash_mean,11.0,feature_importances_
obs_60_cnt_social_circle,11.0,feature_importances_
refused_rate_down_payment_max,11.0,feature_importances_
prev_name_product_type_xna_mean,11.0,feature_importances_
prev_name_portfolio_xna_mean,11.0,feature_importances_
amt_req_credit_bureau_year,11.0,feature_importances_
cc_months_balance_sum,11.0,feature_importances_
cc_amt_drawings_current_sum,10.0,feature_importances_
prev_product_combination_card_street_mean,10.0,feature_importances_
nonlivingapartments_medi,10.0,feature_importances_
prev_product_combination_card_x_sell_mean,10.0,feature_importances_
floorsmax_mode,10.0,feature_importances_
cc_amt_payment_current_var,10.0,feature_importances_
cc_amt_payment_current_max,10.0,feature_importances_
cc_cnt_drawings_current_sum,10.0,feature_importances_
refused_rate_down_payment_mean,10.0,feature_importances_
nonlivingapartments_avg,10.0,feature_importances_
refused_hour_appr_process_start_min,10.0,feature_importances_
organization_type_police,10.0,feature_importances_
occupation_type_accountants,10.0,feature_importances_
approved_rate_down_payment_min,10.0,feature_importances_
refused_amt_goods_price_max,10.0,feature_importances_
occupation_type_sales_staff,9.0,feature_importances_
organization_type_business_entity_type_3,9.0,feature_importances_
refused_app_credit_perc_mean,9.0,feature_importances_
approved_amt_application_min,9.0,feature_importances_
cc_amt_balance_var,9.0,feature_importances_
prev_name_goods_category_audio_video_mean,9.0,feature_importances_
cc_amt_drawings_other_current_max,9.0,feature_importances_
closed_amt_credit_sum_debt_sum,9.0,feature_importances_
cc_amt_drawings_atm_current_sum,9.0,feature_importances_
active_months_balance_min_min,9.0,feature_importances_
cc_cnt_instalment_mature_cum_var,9.0,feature_importances_
flag_document_18,9.0,feature_importances_
prev_name_goods_category_xna_mean,9.0,feature_importances_
cc_amt_drawings_pos_current_sum,9.0,feature_importances_
cc_amt_recivable_min,8.0,feature_importances_
cc_amt_payment_total_current_var,8.0,feature_importances_
cc_cnt_drawings_atm_current_sum,8.0,feature_importances_
closed_amt_credit_sum_limit_mean,8.0,feature_importances_
prev_product_combination_pos_industry_without_interest_mean,8.0,feature_importances_
occupation_type_laborers,8.0,feature_importances_
prev_product_combination_cash_street_middle_mean,8.0,feature_importances_
years_build_avg,8.0,feature_importances_
pos_sk_dpd_max,8.0,feature_importances_
prev_channel_type_regional_local_mean,8.0,feature_importances_
prev_channel_type_country_wide_mean,8.0,feature_importances_
prev_name_portfolio_cards_mean,8.0,feature_importances_
pos_sk_dpd_mean,8.0,feature_importances_
name_family_status_single_not_married,8.0,feature_importances_
cc_count,8.0,feature_importances_
organization_type_kindergarten,8.0,feature_importances_
prev_name_cash_loan_purpose_xna_mean,8.0,feature_importances_
entrances_mode,8.0,feature_importances_
cc_amt_drawings_pos_current_max,7.0,feature_importances_
prev_name_type_suite_children_mean,7.0,feature_importances_
closed_amt_credit_sum_debt_mean,7.0,feature_importances_
refused_amt_credit_mean,7.0,feature_importances_
refused_amt_application_mean,7.0,feature_importances_
cnt_fam_members,7.0,feature_importances_
name_contract_type_revolving_loans,7.0,feature_importances_
prev_name_goods_category_construction_materials_mean,7.0,feature_importances_
prev_name_contract_type_consumer_loans_mean,7.0,feature_importances_
cc_name_contract_status_active_sum,7.0,feature_importances_
cc_amt_receivable_principal_var,7.0,feature_importances_
cc_cnt_drawings_pos_current_var,7.0,feature_importances_
cc_amt_credit_limit_actual_min,7.0,feature_importances_
cc_amt_total_receivable_mean,7.0,feature_importances_
refused_hour_appr_process_start_max,6.0,feature_importances_
prev_name_seller_industry_industry_mean,6.0,feature_importances_
cc_cnt_drawings_pos_current_mean,6.0,feature_importances_
elevators_avg,6.0,feature_importances_
prev_name_contract_type_revolving_loans_mean,6.0,feature_importances_
prev_name_contract_type_cash_loans_mean,6.0,feature_importances_
cc_cnt_instalment_mature_cum_max,6.0,feature_importances_
cc_amt_recivable_mean,6.0,feature_importances_
cc_cnt_instalment_mature_cum_min,6.0,feature_importances_
cc_amt_payment_total_current_mean,6.0,feature_importances_
cc_amt_drawings_current_max,6.0,feature_importances_
floorsmax_medi,6.0,feature_importances_
cc_amt_drawings_pos_current_mean,6.0,feature_importances_
floorsmin_mode,6.0,feature_importances_
prev_name_seller_industry_clothing_mean,6.0,feature_importances_
organization_type_industry_type_9,6.0,feature_importances_
amt_req_credit_bureau_mon,5.0,feature_importances_
weekday_appr_process_start_friday,5.0,feature_importances_
buro_credit_active_sold_mean,5.0,feature_importances_
